"date","inspection_type","score","facility_name","address1","address2","facility_id","inspection_id_tag"
"09/03/2024","ROUTINE INSPECTION","100%","!SWEET DIY COTTON CANDY","8 S COUNTY CENTER WY","SAINT LOUIS, MO 63129","FA0011590","DAT4TKBQD"
"06/07/2024","ROUTINE INSPECTION","100%","(THE) GAVEL SAINT LOUIS","8745 JENNINGS STATION RD","SAINT LOUIS, MO 63136","FA0010656","DAR0YCYSR"
"11/30/2023","2ND FOLLOW UP INSPECTION","96%","(THE) GAVEL SAINT LOUIS","8745 JENNINGS STATION RD","SAINT LOUIS, MO 63136","FA0010656","DAN3ZPRWN"
"11/16/2023","FOLLOW UP INSPECTION","92%","(THE) GAVEL SAINT LOUIS","8745 JENNINGS STATION RD","SAINT LOUIS, MO 63136","FA0010656","DAA15MEH8"
"10/20/2023","ROUTINE INSPECTION","92%","(THE) GAVEL SAINT LOUIS","8745 JENNINGS STATION RD","SAINT LOUIS, MO 63136","FA0010656","DAAH0FMLT"
"12/13/2024","ROUTINE INSPECTION","97%","(THE) LANDING TASTING ROOM @ ICE ZONE","5555 SAINT LOUIS MILLS BLVD","HAZELWOOD, MO 63042","FA0011780","DA9RIXNYP"
"09/19/2024","3RD FOLLOW UP INSPECTION","89%","(THE) MIST BAR & GRILL LLC","4960 PARKER RD","BLACK JACK, MO 63033","FA0010397","DADX1KBRG"
"08/30/2024","2ND FOLLOW UP INSPECTION","89%","(THE) MIST BAR & GRILL LLC","4960 PARKER RD","BLACK JACK, MO 63033","FA0010397","DAEV0N7ML"
"07/19/2024","FOLLOW UP INSPECTION","89%","(THE) MIST BAR & GRILL LLC","4960 PARKER RD","BLACK JACK, MO 63033","FA0010397","DAJI4XXBI"
"06/21/2024","ROUTINE INSPECTION","85%","(THE) MIST BAR & GRILL LLC","4960 PARKER RD","BLACK JACK, MO 63033","FA0010397","DAMB3ND0O"
"08/31/2023","ROUTINE INSPECTION","94%","(THE) MIST BAR & GRILL LLC","4960 PARKER RD","BLACK JACK, MO 63033","FA0010397","DAPP25QVJ"
"08/17/2023","FOLLOW UP INSPECTION","92%","(THE) MIST BAR & GRILL LLC","4960 PARKER RD","BLACK JACK, MO 63033","FA0010397","DA9OFRJV3"
"07/26/2023","ROUTINE INSPECTION","90%","(THE) MIST BAR & GRILL LLC","4960 PARKER RD","BLACK JACK, MO 63033","FA0010397","DA7PC0KCG"
"10/18/2024","3RD FOLLOW UP INSPECTION","94%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAN0U0L55"
"09/30/2024","2ND FOLLOW UP INSPECTION","94%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAUALJ0UL"
"09/13/2024","FOLLOW UP INSPECTION","94%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAIDYKMTB"
"08/26/2024","ROUTINE INSPECTION","90%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAHTV90L4"
"03/04/2024","2ND FOLLOW UP INSPECTION","94%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAZ123MWX"
"02/20/2024","FOLLOW UP INSPECTION","92%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAJZAYNSK"
"01/31/2024","ROUTINE INSPECTION","92%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAXT5ZBDG"
"01/17/2023","FOLLOW UP INSPECTION","97%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DACCJELCF"
"01/04/2023","ROUTINE INSPECTION","95%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAABQREWV"
"11/03/2022","2ND FOLLOW UP INSPECTION","95%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DA8ZIOKCX"
"10/19/2022","FOLLOW UP INSPECTION","95%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DAA9SJB81"
"09/20/2022","ROUTINE INSPECTION","90%","(THE) RICE HOUSE 2","2725 N HIGHWAY 67","FLORISSANT, MO 63033-1401","FA0001740","DANV8UAUS"
"11/07/2024","ROUTINE INSPECTION","99%","119 NORTH TAPAS & WINE BAR","119 N KIRKWOOD RD","SAINT LOUIS, MO 63122","FA0001802","DAUBUGGYS"
"06/18/2024","ROUTINE INSPECTION","98%","119 NORTH TAPAS & WINE BAR","119 N KIRKWOOD RD","SAINT LOUIS, MO 63122","FA0001802","DAQNBIQSI"
