"date","inspection_type","score","facility_name","address1","address2","facility_id","inspection_id_tag"
"10/15/2024","2ND FOLLOW UP INSPECTION","100%","7 ELEVEN #27838D","703 UNION RD","SAINT LOUIS, MO 63123","FA0011333","DATGR058L"
"09/25/2024","FOLLOW UP INSPECTION","100%","7 ELEVEN #27838D","703 UNION RD","SAINT LOUIS, MO 63123","FA0011333","DACJ7L5CG"
"09/13/2024","ROUTINE INSPECTION","94%","7 ELEVEN #27838D","703 UNION RD","SAINT LOUIS, MO 63123","FA0011333","DAAQ5QRMC"
"03/11/2024","ROUTINE INSPECTION","100%","7 ELEVEN #27838D","703 UNION RD","SAINT LOUIS, MO 63123","FA0011333","DA0EI6NI7"
"03/11/2024","ROUTINE INSPECTION","99%","7 ELEVEN #27838D","703 UNION RD","SAINT LOUIS, MO 63123","FA0011333","DAB4CF08Q"
"08/22/2024","ROUTINE INSPECTION","100%","7 ELEVEN STORE #29264C","13515 BIG BEND RD","SAINT LOUIS, MO 63122","FA0011336","DA0XEPIAK"
"03/20/2024","2ND FOLLOW UP INSPECTION","98%","7 ELEVEN STORE #29264C","13515 BIG BEND RD","SAINT LOUIS, MO 63122","FA0011336","DA4PGHIN6"
"03/18/2024","FOLLOW UP INSPECTION","96%","7 ELEVEN STORE #29264C","13515 BIG BEND RD","SAINT LOUIS, MO 63122","FA0011336","DAWG7TDLZ"
"03/06/2024","ROUTINE INSPECTION","96%","7 ELEVEN STORE #29264C","13515 BIG BEND RD","SAINT LOUIS, MO 63122","FA0011336","DAW542TFL"
"03/06/2024","ROUTINE INSPECTION","99%","7 ELEVEN STORE #29264C","13515 BIG BEND RD","SAINT LOUIS, MO 63122","FA0011336","DARLAZHYR"
"09/24/2024","ROUTINE INSPECTION","96%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DAJYIEDEW"
"12/12/2023","3RD FOLLOW UP INSPECTION","100%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DAOOYTNFL"
"12/08/2023","2ND FOLLOW UP INSPECTION","94%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DAZ6340XO"
"11/14/2023","FOLLOW UP INSPECTION","90%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DAKZ33YQ7"
"11/02/2023","ROUTINE INSPECTION","90%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DAVCLTSXB"
"10/24/2022","FOLLOW UP INSPECTION","94%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DA0KX31P0"
"10/05/2022","ROUTINE INSPECTION","94%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DA7SHQZ1D"
"09/24/2024","ROUTINE INSPECTION","96%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DAOFHNK2A"
"11/02/2023","ROUTINE INSPECTION","100%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DAOJ4WBDM"
"10/05/2022","ROUTINE INSPECTION","100%","7-ELEVEN","12545 BENNINGTON PL","SAINT LOUIS, MO 63146-2710","FA0002136","DAECBKH1B"
"08/19/2024","2ND FOLLOW UP INSPECTION","99%","7-ELEVEN","105 DUNN RD","FLORISSANT, MO 63031-8007","FA0002133","DAWTTYQVZ"
"08/08/2024","FOLLOW UP INSPECTION","97%","7-ELEVEN","105 DUNN RD","FLORISSANT, MO 63031-8007","FA0002133","DACVFGOIR"
"07/18/2024","ROUTINE INSPECTION","95%","7-ELEVEN","105 DUNN RD","FLORISSANT, MO 63031-8007","FA0002133","DALQNYSFN"
"01/10/2024","ROUTINE INSPECTION","98%","7-ELEVEN","105 DUNN RD","FLORISSANT, MO 63031-8007","FA0002133","DAPZA5WNP"
"05/10/2022","FOLLOW UP INSPECTION","99%","7-ELEVEN","105 DUNN RD","FLORISSANT, MO 63031-8007","FA0002133","DA3AHPJIN"
"04/14/2022","ROUTINE INSPECTION","93%","7-ELEVEN","105 DUNN RD","FLORISSANT, MO 63031-8007","FA0002133","DAMXQPK0B"
"01/10/2024","ROUTINE INSPECTION","100%","7-ELEVEN","105 DUNN RD","FLORISSANT, MO 63031-8007","FA0002133","DA0ERJML2"
"04/14/2022","ROUTINE INSPECTION","99%","7-ELEVEN","105 DUNN RD","FLORISSANT, MO 63031-8007","FA0002133","DASE4J9SI"
"10/08/2024","ROUTINE INSPECTION","97%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DAIZE1RP0"
"10/04/2023","ROUTINE INSPECTION","99%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DAU0LRZHS"
"11/30/2022","3RD FOLLOW UP INSPECTION","99%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DA3RNUUSO"
"11/09/2022","2ND FOLLOW UP INSPECTION","95%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DAN7R1KBL"
"10/17/2022","FOLLOW UP INSPECTION","95%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DAIYOYFZR"
"10/05/2022","ROUTINE INSPECTION","95%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DALZ0K0JI"
"10/08/2024","ROUTINE INSPECTION","99%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DAUCGKOEA"
"10/04/2023","ROUTINE INSPECTION","99%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DALDCRHN0"
"10/05/2022","ROUTINE INSPECTION","99%","7-ELEVEN #23889E","8000 MACKENZIE RD","SAINT LOUIS, MO 63123-3519","FA0001795","DAXAWG4YS"
"01/23/2024","ROUTINE INSPECTION","98%","7-ELEVEN #27092E","9866 MANCHESTER RD","SAINT LOUIS, MO 63119","FA0001794","DACOTHU51"
"01/18/2023","FOLLOW UP INSPECTION","98%","7-ELEVEN #27092E","9866 MANCHESTER RD","SAINT LOUIS, MO 63119","FA0001794","DAQR0YRTR"
"01/06/2023","ROUTINE INSPECTION","96%","7-ELEVEN #27092E","9866 MANCHESTER RD","SAINT LOUIS, MO 63119","FA0001794","DAYUA1UX1"
"01/23/2024","ROUTINE INSPECTION","100%","7-ELEVEN #27092E","9866 MANCHESTER RD","SAINT LOUIS, MO 63119","FA0001794","DAACMAJXB"
"01/06/2023","ROUTINE INSPECTION","98%","7-ELEVEN #27092E","9866 MANCHESTER RD","SAINT LOUIS, MO 63119","FA0001794","DAUVUNJHY"
"01/23/2024","ROUTINE INSPECTION","100%","7-ELEVEN #27379B","8250 WATSON RD","SAINT LOUIS, MO 63119-4864","FA0001793","DAPWOUKHW"
"01/20/2023","FOLLOW UP INSPECTION","100%","7-ELEVEN #27379B","8250 WATSON RD","SAINT LOUIS, MO 63119-4864","FA0001793","DAB7GDZ2P"
"01/06/2023","ROUTINE INSPECTION","98%","7-ELEVEN #27379B","8250 WATSON RD","SAINT LOUIS, MO 63119-4864","FA0001793","DAZFRBHLK"
"01/23/2024","ROUTINE INSPECTION","100%","7-ELEVEN #27379B","8250 WATSON RD","SAINT LOUIS, MO 63119-4864","FA0001793","DABVDK1ES"
"01/06/2023","ROUTINE INSPECTION","98%","7-ELEVEN #27379B","8250 WATSON RD","SAINT LOUIS, MO 63119-4864","FA0001793","DABYT3ZPK"
"11/04/2024","2ND FOLLOW UP INSPECTION","100%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DAJ0WVFVM"
"11/01/2024","FOLLOW UP INSPECTION","93%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DAODLP9GH"
"10/25/2024","ROUTINE INSPECTION","93%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DAT0C40YN"
"04/16/2024","ROUTINE INSPECTION","97%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DAJF07DJ1"
"10/13/2023","ROUTINE INSPECTION","95%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DA7ABXO0S"
"04/06/2023","ROUTINE INSPECTION","98%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DAZ8W1UMJ"
"05/26/2022","ROUTINE INSPECTION","99%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DAZXV7DJV"
"10/25/2024","ROUTINE INSPECTION","99%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DAUBR0MKO"
"07/19/2023","ROUTINE INSPECTION","99%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DABPHWHIG"
"05/26/2022","ROUTINE INSPECTION","99%","7-ELEVEN #28281","13491 OLIVE BLVD","CHESTERFIELD, MO 63017-3166","FA0002139","DA7CKROKJ"
"09/04/2024","ROUTINE INSPECTION","100%","7-ELEVEN #29038D","6085 N LINDBERGH BLVD","HAZELWOOD, MO 63042","FA0010065","DAHIQ0CTB"
"04/04/2023","ROUTINE INSPECTION","98%","7-ELEVEN #29038D","6085 N LINDBERGH BLVD","HAZELWOOD, MO 63042","FA0010065","DA9JRWOX9"
"11/21/2022","ROUTINE INSPECTION","97%","7-ELEVEN #29038D","6085 N LINDBERGH BLVD","HAZELWOOD, MO 63042","FA0010065","DAPIFZ65U"
"02/28/2022","ROUTINE INSPECTION","98%","7-ELEVEN #29038D","6085 N LINDBERGH BLVD","HAZELWOOD, MO 63042","FA0010065","DA0ITVORW"
"09/04/2024","ROUTINE INSPECTION","100%","7-ELEVEN #29038D","6085 N LINDBERGH BLVD","HAZELWOOD, MO 63042","FA0010065","DAPPA2NMD"
"04/04/2023","ROUTINE INSPECTION","100%","7-ELEVEN #29038D","6085 N LINDBERGH BLVD","HAZELWOOD, MO 63042","FA0010065","DAQYXGR0X"
"02/28/2022","ROUTINE INSPECTION","100%","7-ELEVEN #29038D","6085 N LINDBERGH BLVD","HAZELWOOD, MO 63042","FA0010065","DABFHCO0F"
"12/18/2024","2ND FOLLOW UP INSPECTION","98%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAYKI7SCS"
"12/02/2024","FOLLOW UP INSPECTION","92%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DA0VX2GH4"
"11/18/2024","ROUTINE INSPECTION","92%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAISA9SWW"
"01/11/2024","2ND FOLLOW UP INSPECTION","98%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAKS9JQVR"
"11/15/2023","FOLLOW UP INSPECTION","94%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DA0COTQEM"
"11/03/2023","ROUTINE INSPECTION","94%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAAH0F0AW"
"11/28/2022","2ND FOLLOW UP INSPECTION","100%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DA0BPCZXG"
"11/04/2022","FOLLOW UP INSPECTION","92%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAG50MZWE"
"10/13/2022","ROUTINE INSPECTION","92%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAOW3POIC"
"11/18/2024","ROUTINE INSPECTION","100%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAIX1WOFP"
"11/15/2023","FOLLOW UP INSPECTION","99%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAOD0N3MY"
"11/03/2023","ROUTINE INSPECTION","94%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DAI67O3GZ"
"10/13/2022","ROUTINE INSPECTION","100%","7-ELEVEN STORE #19503J","2306 CHAMBERS RD","MOLINE ACRES, MO 63136","FA0010390","DA2VB4V66"
"03/08/2024","ROUTINE INSPECTION","100%","7-ELEVEN STORE #19981C","260 HOFFMEISTER AVE","SAINT LOUIS, MO 63125","FA0010000","DAWWEDXWK"
"01/24/2023","ROUTINE INSPECTION","100%","7-ELEVEN STORE #19981C","260 HOFFMEISTER AVE","SAINT LOUIS, MO 63125","FA0010000","DAHIO5QAE"
"02/18/2022","ROUTINE INSPECTION","99%","7-ELEVEN STORE #19981C","260 HOFFMEISTER AVE","SAINT LOUIS, MO 63125","FA0010000","DAR2LJ62C"
"03/08/2024","ROUTINE INSPECTION","100%","7-ELEVEN STORE #19981C","260 HOFFMEISTER AVE","SAINT LOUIS, MO 63125","FA0010000","DAEDE0HDV"
"01/24/2023","ROUTINE INSPECTION","100%","7-ELEVEN STORE #19981C","260 HOFFMEISTER AVE","SAINT LOUIS, MO 63125","FA0010000","DAG0HG5IA"
"02/18/2022","ROUTINE INSPECTION","100%","7-ELEVEN STORE #19981C","260 HOFFMEISTER AVE","SAINT LOUIS, MO 63125","FA0010000","DAKAE5WJL"
"11/13/2024","ROUTINE INSPECTION","99%","7-ELEVEN STORE #20206B","4300 WOODSON RD","WOODSON TERRACE, MO 63134","FA0009255","DA8PDHE0L"
"10/29/2024","ROUTINE INSPECTION","91%","7-ELEVEN STORE #20206B","4300 WOODSON RD","WOODSON TERRACE, MO 63134","FA0009255","DAZWO0E7J"
"04/28/2023","FOLLOW UP INSPECTION","99%","7-ELEVEN STORE #20206B","4300 WOODSON RD","WOODSON TERRACE, MO 63134","FA0009255","DAEJFJQGH"
